Islandora Badges (islandora_badges),Enabled
Islandora BagIt (islandora_bagit),7.x-1.11,Enabled
Islandora Batch (islandora_batch),7.x-1.11,Enabled
Islandora Batch Importer (islandora_importer),7.x-1.11,Enabled
Islandora Batch Report (islandora_batch_report),7.x-1.11,Enabled
Islandora Bookmark (islandora_bookmark),7.x-1.11,Enabled
Islandora Bookmark CSV Exports (islandora_bookmark_csv_exports),7.x-1.11,Not installed
Islandora Checksum (islandora_checksum),7.x-1.11,Enabled
Islandora Checksum Checker (islandora_checksum_checker),7.x-1.11,Enabled
Islandora FITS (islandora_fits),7.x-1.11,Enabled
Islandora Image Annotation (islandora_image_annotation),Not installed
Islandora MARCXML (islandora_marcxml),7.x-1.11,Enabled
Islandora oaDOI (islandora_oadoi),Not installed
Islandora OAI Provider (islandora_oai),7.x-1.11,Enabled
Islandora OCR (islandora_ocr),7.x-1.11,Enabled
Islandora pathauto (islandora_pathauto),7.x-1.11,Enabled
Islandora PREMIS (islandora_premis),7.x-1.11,Enabled
Islandora Scopus Badge (islandora_scopus),Not installed
Islandora Simple Workflow (islandora_simple_workflow),7.x-1.11,Enabled
Islandora Sync (islandora_sync),Not installed
Islandora Usage Stats (islandora_usage_stats),7.x-1.11,Enabled
Islandora Web of Science Badge (islandora_wos),Not installed
Islandora Xacml Api (islandora_xacml_api),7.x-1.11,Enabled
Islandora XACML Editor (islandora_xacml_editor),7.x-1.11,Enabled
Islandora XML Form Builder (xml_form_builder),7.x-1.11,Enabled
Islandora XML Forms (xml_forms),7.x-1.11,Enabled
Islandora XML sitemap (islandora_xmlsitemap),7.x-1.11,Enabled
Zip File Importer (zip_importer),7.x-1.11,Enabled
Islandora Internet Archive BookReader (islandora_internet_archive_bookreader),7.x-1.11,Enabled
Islandora OpenSeadragon (islandora_openseadragon),7.x-1.11,Enabled
Islandora pdf.js (islandora_pdfjs),7.x-1.11,Enabled
Islandora video.js (islandora_videojs),7.x-1.11,Enabled
Panels translation (i18n_panels),7.x-3.9,Not installed
Rules translation (rules_i18n),7.x-2.11,Not installed
Nodequeue (nodequeue),7.x-2.1,Not installed
Nodequeue Service (nodequeue_service),7.x-2.1,Not installed
Smartqueue taxonomy (smartqueue),7.x-2.1,Not installed
Colorbox (colorbox),7.x-2.13,Enabled
Entity API (entity),7.x-1.9,Enabled
Entity tokens (entity_token),7.x-1.9,Enabled
Entity view modes (entity_view_mode),7.x-1.0-rc1,Not installed
Environment indicator (environment_indicator),7.x-2.9,Not installed
Environment indicator variables (environment_indicator_variable),7.x-2.9,Not installed
ImageMagick (imagemagick),7.x-1.0,Enabled
ImageMagick Advanced (imagemagick_advanced),7.x-1.0,Not installed
Islandora Sync Field Collection (islandora_sync_field_collection),Not installed
Islandora Sync Relation (islandora_sync_relation),Not installed
Libraries (libraries),7.x-2.5,Enabled
Pathauto (pathauto),7.x-1.3,Enabled
Stage File Proxy (stage_file_proxy),7.x-1.8,Not installed
Strongarm (strongarm),7.x-2.0,Not installed
Token (token),7.x-1.7,Enabled
Mini panels (panels_mini),7.x-3.9,Not installed
Panel nodes (panels_node),7.x-3.9,Not installed
Panels (panels),7.x-3.9,Not installed
Panels In-Place Editor (panels_ipe),7.x-3.9,Not installed
Rules (rules),7.x-2.11,Enabled
Rules Scheduler (rules_scheduler),7.x-2.11,Not installed
Rules UI (rules_admin),7.x-2.11,Not installed
Google Analytics (googleanalytics),7.x-2.5,Not installed
Features Extra test feature (features_extra_test),7.x-1.0,Not installed
jQuery Update (jquery_update),7.x-2.7,Enabled
Views (views),7.x-3.20,Enabled
Views Bulk Operations (views_bulk_operations),7.x-3.5,Not installed
Views Data Export (views_data_export),7.x-3.2,Enabled
Views Slideshow (views_slideshow),7.x-3.9,Not installed
Views Slideshow Simple Pager (views_slideshow_simple_pager),7.x-3.9,Not installed
Views Slideshow: Cycle (views_slideshow_cycle),7.x-3.9,Not installed
Views UI (views_ui),7.x-3.20,Enabled
Webform (webform),7.x-4.18,Enabled
Webform AJAX (webform_ajax),7.x-1.1,Enabled
Webform Bonus Pack (webform_bonus),7.x-3.x-dev,Enabled
Webform Digest (webform_digest),7.x-3.x-dev,Not installed
Webform to Google Docs (webform_to_gdocs),7.x-4.3,Not installed
Webform Workflow (webform_workflow),7.x-1.0-alpha2,Not installed
XML sitemap (xmlsitemap),7.x-2.6,Enabled
XML sitemap custom (xmlsitemap_custom),7.x-2.6,Enabled
XML sitemap engines (xmlsitemap_engines),7.x-2.6,Not installed
XML sitemap internationalization (xmlsitemap_i18n),7.x-2.6,Not installed
XML sitemap menu (xmlsitemap_menu),7.x-2.6,Not installed
XML sitemap node (xmlsitemap_node),7.x-2.6,Not installed
XML sitemap taxonomy (xmlsitemap_taxonomy),7.x-2.6,Not installed
XML sitemap user (xmlsitemap_user),7.x-2.6,Not installed
Aggregator (aggregator),7.61,Disabled
Bartik (bartik),7.61,Enabled
Block (block),7.61,Disabled
Blog (blog),7.61,Disabled
Book (book),7.61,Disabled
Color (color),7.61,Disabled
Comment (comment),7.61,Disabled
Contact (contact),7.61,Disabled
Content translation (translation),7.61,Disabled
Contextual links (contextual),7.61,Disabled
Dashboard (dashboard),7.61,Disabled
Database logging (dblog),7.61,Disabled
Field (field),7.61,Disabled
Field SQL storage (field_sql_storage),7.61,Disabled
Field UI (field_ui),7.61,Disabled
File (file),7.61,Disabled
Filter (filter),7.61,Disabled
Forum (forum),7.61,Disabled
Garland (garland),7.61,Disabled
Help (help),7.61,Disabled
Image (image),7.61,Disabled
List (list),7.61,Disabled
Locale (locale),7.61,Disabled
Menu (menu),7.61,Disabled
Node (node),7.61,Disabled
Number (number),7.61,Disabled
OpenID (openid),7.61,Disabled
Options (options),7.61,Disabled
Overlay (overlay),7.61,Disabled
Path (path),7.61,Disabled
PHP filter (php),7.61,Disabled
Poll (poll),7.61,Disabled
RDF (rdf),7.61,Disabled
Search (search),7.61,Disabled
Seven (seven),7.61,Enabled
Shortcut (shortcut),7.61,Disabled
Stark (stark),7.61,Disabled
Statistics (statistics),7.61,Disabled
Syslog (syslog),7.61,Disabled
System (system),7.61,Disabled
Taxonomy (taxonomy),7.61,Disabled
Testing (simpletest),7.61,Disabled
Text (text),7.61,Disabled
Toolbar (toolbar),7.61,Disabled
Tracker (tracker),7.61,Disabled
Trigger (trigger),7.61,Disabled
Update manager (update),7.61,Disabled
User (user),7.61,Disabled
Bootstrap (bootstrap),7.x-3.22,Disabled
Digital_Grinnell (Digital_Grinnell),7.x.1,Enabled
Minimal (minimal),7.61,Disabled
Standard (standard),7.61,Disabled
root@2e9138e3c331:/var/www/html/sites/default#
